n,algoritmo,escenario,repeticion,tiempo_ns,comparaciones
10000,Binaria,Inicio,27,100,13
10000,Lineal,Inicio,28,100,1
10000,Binaria,Inicio,28,200,13
10000,Lineal,Inicio,29,100,1
10000,Binaria,Inicio,29,200,13
10000,Lineal,Inicio,30,0,1
10000,Binaria,Inicio,30,200,13
10000,Lineal,Centro,1,17700,5001
10000,Binaria,Centro,1,300,13
10000,Lineal,Centro,2,17600,5001
10000,Binaria,Centro,2,200,13
10000,Lineal,Centro,3,17600,5001
10000,Binaria,Centro,3,200,13
10000,Lineal,Centro,4,17500,5001
10000,Binaria,Centro,4,200,13
10000,Lineal,Centro,5,17600,5001
10000,Binaria,Centro,5,200,13
10000,Lineal,Centro,6,16800,5001
10000,Binaria,Centro,6,100,13
10000,Lineal,Centro,7,17600,5001
10000,Binaria,Centro,7,200,13
10000,Lineal,Centro,8,16600,5001
10000,Binaria,Centro,8,100,13
10000,Lineal,Centro,9,16700,5001
10000,Binaria,Centro,9,100,13
10000,Lineal,Centro,10,17600,5001
10000,Binaria,Centro,10,100,13
10000,Lineal,Centro,11,17700,5001
10000,Binaria,Centro,11,100,13
10000,Lineal,Centro,12,16600,5001
10000,Binaria,Centro,12,200,13
10000,Lineal,Centro,13,17600,5001
10000,Binaria,Centro,13,200,13
10000,Lineal,Centro,14,16600,5001
10000,Binaria,Centro,14,200,13
10000,Lineal,Centro,15,17600,5001
10000,Binaria,Centro,15,100,13
10000,Lineal,Centro,16,17500,5001
10000,Binaria,Centro,16,100,13
10000,Lineal,Centro,17,16700,5001
10000,Binaria,Centro,17,100,13
10000,Lineal,Centro,18,17500,5001
10000,Binaria,Centro,18,100,13
10000,Lineal,Centro,19,17600,5001
10000,Binaria,Centro,19,100,13
10000,Lineal,Centro,20,17600,5001
10000,Binaria,Centro,20,100,13
10000,Lineal,Centro,21,17700,5001
10000,Binaria,Centro,21,200,13
10000,Lineal,Centro,22,17900,5001
10000,Binaria,Centro,22,100,13
10000,Lineal,Centro,23,17700,5001
10000,Binaria,Centro,23,100,13
10000,Lineal,Centro,24,17600,5001
10000,Binaria,Centro,24,100,13
10000,Lineal,Centro,25,17700,5001
10000,Binaria,Centro,25,100,13
10000,Lineal,Centro,26,17600,5001
10000,Binaria,Centro,26,100,13
10000,Lineal,Centro,27,24000,5001
10000,Binaria,Centro,27,200,13
10000,Lineal,Centro,28,17700,5001
10000,Binaria,Centro,28,200,13
10000,Lineal,Centro,29,18000,5001
10000,Binaria,Centro,29,200,13
10000,Lineal,Centro,30,17500,5001
10000,Binaria,Centro,30,200,13
10000,Lineal,Final,1,34600,10000
10000,Binaria,Final,1,200,14
10000,Lineal,Final,2,34700,10000
10000,Binaria,Final,2,200,14
10000,Lineal,Final,3,34800,10000
10000,Binaria,Final,3,300,14
10000,Lineal,Final,4,35300,10000
10000,Binaria,Final,4,200,14
10000,Lineal,Final,5,34900,10000
10000,Binaria,Final,5,200,14
10000,Lineal,Final,6,53900,10000
10000,Binaria,Final,6,400,14
10000,Lineal,Final,7,73700,10000
10000,Binaria,Final,7,300,14
10000,Lineal,Final,8,72700,10000
10000,Binaria,Final,8,300,14
