lenguaje;n;algoritmo;escenario;repeticion;tiempo_ns;comparaciones
Python;10000;Lineal;Centro;7;483900;5001
Python;10000;Lineal;Centro;8;539000;5001
Python;10000;Lineal;Centro;9;616700;5001
Python;10000;Lineal;Centro;10;397700;5001
Python;10000;Lineal;Centro;11;303000;5001
Python;10000;Lineal;Centro;12;301300;5001
Python;10000;Lineal;Centro;13;328000;5001
Python;10000;Lineal;Centro;14;330300;5001
Python;10000;Lineal;Centro;15;436100;5001
Python;10000;Lineal;Centro;16;358500;5001
Python;10000;Lineal;Centro;17;317400;5001
Python;10000;Lineal;Centro;18;319900;5001
Python;10000;Lineal;Centro;19;317200;5001
Python;10000;Lineal;Centro;20;318200;5001
Python;10000;Lineal;Centro;21;319100;5001
Python;10000;Lineal;Centro;22;327900;5001
Python;10000;Lineal;Centro;23;323600;5001
Python;10000;Lineal;Centro;24;320400;5001
Python;10000;Lineal;Centro;25;356900;5001
Python;10000;Lineal;Centro;26;570500;5001
Python;10000;Lineal;Centro;27;539100;5001
Python;10000;Lineal;Centro;28;530500;5001
Python;10000;Lineal;Centro;29;418300;5001
Python;10000;Lineal;Centro;30;300200;5001
Python;10000;Binaria;Centro;1;4600;13
Python;10000;Binaria;Centro;2;2400;13
Python;10000;Binaria;Centro;3;2100;13
Python;10000;Binaria;Centro;4;2100;13
Python;10000;Binaria;Centro;5;2200;13
Python;10000;Binaria;Centro;6;2200;13
Python;10000;Binaria;Centro;7;2100;13
Python;10000;Binaria;Centro;8;2000;13
Python;10000;Binaria;Centro;9;2100;13
Python;10000;Binaria;Centro;10;2100;13
Python;10000;Binaria;Centro;11;2100;13
Python;10000;Binaria;Centro;12;2100;13
Python;10000;Binaria;Centro;13;2100;13
Python;10000;Binaria;Centro;14;2100;13
Python;10000;Binaria;Centro;15;2200;13
Python;10000;Binaria;Centro;16;2300;13
Python;10000;Binaria;Centro;17;2100;13
Python;10000;Binaria;Centro;18;2200;13
Python;10000;Binaria;Centro;19;2200;13
Python;10000;Binaria;Centro;20;2200;13
Python;10000;Binaria;Centro;21;2200;13
Python;10000;Binaria;Centro;22;2200;13
Python;10000;Binaria;Centro;23;2200;13
Python;10000;Binaria;Centro;24;2200;13
Python;10000;Binaria;Centro;25;2100;13
Python;10000;Binaria;Centro;26;2200;13
Python;10000;Binaria;Centro;27;2200;13
Python;10000;Binaria;Centro;28;2200;13
Python;10000;Binaria;Centro;29;2100;13
Python;10000;Binaria;Centro;30;2100;13
Python;10000;Lineal;Final;1;672000;10000
Python;10000;Lineal;Final;2;728800;10000
